Platz;Rennen;Nummer;Fahrer;Team / Motor;Reifen;Zeit;Rückstand;Runden;Punkte
12;Italien GP;15;V. Liuzzi;Force India / Mercedes;B;1:17:30.678;+ 1:06.106;53;0
9;Kanada GP;15;V. Liuzzi;Force India / Mercedes;B;1:34:42.634;+ 1 Runde;69;2
6;Korea GP;15;V. Liuzzi;Force India / Mercedes;B;2:49:14.381;53.571;55;8
9;Monaco GP;15;V. Liuzzi;Force India / Mercedes;B;1:50:20.660;7.305;78;2
15;Spanien GP;15;V. Liuzzi;Force India / Mercedes;B;1:35:09.944;Ausfall;64;0
13;Türkei GP;15;V. Liuzzi;Force India / Mercedes;B;1:28:56.806;+ 1 Runde;57;0
13;Ungarn GP;15;V. Liuzzi;Force India / Mercedes;B;1:41:37.358;+ 1 Runde;69;0
15;Abu Dhabi GP;16;S. Buemi;Scuderia Toro Rosso / Ferrari;B;1:40:40.015;+ 1:03.178;55;0
16;Bahrain GP;16;S. Buemi;Scuderia Toro Rosso / Ferrari;B;1:34:51.386;Ausfall;46;0
12;Belgien GP;16;S. Buemi;Scuderia Toro Rosso / Ferrari;B;1:29:44.163;39.895;44;0
13;Brasilien GP;16;S. Buemi;Scuderia Toro Rosso / Ferrari;B;1:33:58.288;+ 1 Runde;70;0
9;Europa GP;16;S. Buemi;Scuderia Toro Rosso / Ferrari;B;1:41:05.870;36.299;57;2
12;Großbritannien GP;16;S. Buemi;Scuderia Toro Rosso / Ferrari;B;1:25:25.827;47.627;52;0
11;Italien GP;16;S. Buemi;Scuderia Toro Rosso / Ferrari;B;1:17:29.628;+ 1:05.056;53;0
10;Japan GP;16;S. Buemi;Scuderia Toro Rosso / Ferrari;B;1:31:40.129;+ 1:12.806;53;1
8;Kanada GP;16;S. Buemi;Scuderia Toro Rosso / Ferrari;B;1:34:38.435;+ 1 Runde;69;4
11;Malaysia GP;16;S. Buemi;Scuderia Toro Rosso / Ferrari;B;1:35:07.350;+ 1:18.938;56;0
10;Monaco GP;16;S. Buemi;Scuderia Toro Rosso / Ferrari;B;1:50:21.554;8.199;78;1
14;Singapur GP;16;S. Buemi;Scuderia Toro Rosso / Ferrari;B;1:58:11.029;+ 1 Runde;60;0
16;Türkei GP;16;S. Buemi;Scuderia Toro Rosso / Ferrari;B;1:29:44.682;+ 1 Runde;57;0
12;Ungarn GP;16;S. Buemi;Scuderia Toro Rosso / Ferrari;B;1:41:36.709;+ 1 Runde;69;0
9;Abu Dhabi GP;17;J. Alguersuari;Scuderia Toro Rosso / Ferrari;B;1:40:27.038;50.201;55;2
11;Australien GP;17;J. Alguersuari;Scuderia Toro Rosso / Ferrari;B;1:34:47.832;+ 1:11.301;58;0
13;Bahrain GP;17;J. Alguersuari;Scuderia Toro Rosso / Ferrari;B;1:40:53.052;+ 1:32.656;49;0
13;Belgien GP;17;J. Alguersuari;Scuderia Toro Rosso / Ferrari;B;1:29:53.725;49.457;44;0
11;Brasilien GP;17;J. Alguersuari;Scuderia Toro Rosso / Ferrari;B;1:33:44.982;+ 1 Runde;70;0
13;China GP;17;J. Alguersuari;Scuderia Toro Rosso / Ferrari;B;1:47:53.579;+ 1:11.416;56;0
15;Deutschand GP;17;J. Alguersuari;Scuderia Toro Rosso / Ferrari;B;1:28:40.457;+ 1 Runde;66;0
13;Europa GP;17;J. Alguersuari;Scuderia Toro Rosso / Ferrari;B;1:41:17.810;48.239;57;0
